



('0.19', ', ', '05/06/2023 16:48:48')
('0.19', ', ', '05/06/2023 16:48:49')
('0.17', ', ', '05/06/2023 16:48:50')
('0.28', ', ', '05/06/2023 16:48:50')
('0.65', ', ', '05/06/2023 16:48:51')
('0.42', ', ', '05/06/2023 16:48:52')
('0.66', ', ', '05/06/2023 16:48:53')
('0.39', ', ', '05/06/2023 16:48:53')
('0.63', ', ', '05/06/2023 16:48:54')
('0.38', ', ', '05/06/2023 16:48:55')
('0.60', ', ', '05/06/2023 16:48:56')
('0.38', ', ', '05/06/2023 16:48:57')
('0.60', ', ', '05/06/2023 16:48:57')
('0.44', ', ', '05/06/2023 16:48:58')
('0.50', ', ', '05/06/2023 16:48:59')
('0.51', ', ', '05/06/2023 16:49:00')
('0.49', ', ', '05/06/2023 16:49:00')
('0.51', ', ', '05/06/2023 16:49:01')
('0.44', ', ', '05/06/2023 16:49:02')
('0.57', ', ', '05/06/2023 16:49:03')
('0.19', ', ', '05/06/2023 16:49:04')
('0.18', ', ', '05/06/2023 16:49:04')
('0.20', ', ', '05/06/2023 16:49:05')
('0.20', ', ', '05/06/2023 16:49:06')
('0.43', ', ', '05/06/2023 16:49:07')
('0.51', ', ', '05/06/2023 16:49:07')
('0.52', ', ', '05/06/2023 16:49:08')
('0.49', ', ', '05/06/2023 16:49:09')
('0.45', ', ', '05/06/2023 16:49:10')
('0.50', ', ', '05/06/2023 16:49:11')
('0.42', ', ', '05/06/2023 16:49:11')
('0.56', ', ', '05/06/2023 16:49:12')
('0.41', ', ', '05/06/2023 16:49:13')
('0.64', ', ', '05/06/2023 16:49:14')
('0.42', ', ', '05/06/2023 16:49:14')
('0.60', ', ', '05/06/2023 16:49:15')
('0.41', ', ', '05/06/2023 16:49:16')
('0.63', ', ', '05/06/2023 16:49:17')
('0.43', ', ', '05/06/2023 16:49:18')
('0.57', ', ', '05/06/2023 16:49:18')
('0.45', ', ', '05/06/2023 16:49:19')
('0.18', ', ', '05/06/2023 16:49:20')
('0.18', ', ', '05/06/2023 16:49:21')
('0.18', ', ', '05/06/2023 16:49:21')
('0.19', ', ', '05/06/2023 16:49:22')
('0.84', ', ', '05/06/2023 16:49:23')
